epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9323621988296509,0.21882539987564087,1e-04,0.9370413422584534,0.19346056878566742
1,0.9361599087715149,0.19074679911136627,1e-04,0.9376609921455383,0.1807321161031723
2,0.9365535974502563,0.18261459469795227,1e-04,0.9402526617050171,0.1637907177209854
3,0.9372429251670837,0.17732785642147064,1e-04,0.9389329552650452,0.16292986273765564
4,0.9374164938926697,0.17271779477596283,1e-04,0.9405207633972168,0.16620786488056183
5,0.9377731084823608,0.16871434450149536,1e-04,0.9382490515708923,0.16020646691322327
6,0.9385058879852295,0.16363239288330078,1e-04,0.9364314079284668,0.16067469120025635
7,0.9389412999153137,0.16011744737625122,1e-04,0.9436478018760681,0.15032310783863068
8,0.9397913217544556,0.15708523988723755,1e-04,0.9398384690284729,0.14929938316345215
9,0.9408407211303711,0.15231719613075256,1e-04,0.9449849724769592,0.13651618361473083
10,0.9414834380149841,0.14808471500873566,1e-04,0.942804753780365,0.13790008425712585
11,0.9423359036445618,0.14406611025333405,1e-04,0.937721312046051,0.15352119505405426
12,0.943577766418457,0.14055992662906647,1e-04,0.9461557269096375,0.13293318450450897
13,0.9436779022216797,0.1382284015417099,1e-04,0.9475646018981934,0.1342180073261261
14,0.9449014067649841,0.1342197060585022,1e-04,0.9456830620765686,0.13407748937606812
15,0.9459031820297241,0.13186240196228027,1e-04,0.9481275677680969,0.1275416612625122
16,0.947404682636261,0.12798842787742615,1e-04,0.9458181262016296,0.133448988199234
17,0.9478559494018555,0.1254713535308838,1e-04,0.9452424049377441,0.13672205805778503
18,0.9489543437957764,0.12344558537006378,1e-04,0.9492102861404419,0.12223884463310242
19,0.9500613808631897,0.11987613886594772,1e-04,0.9483564496040344,0.13122834265232086
20,0.9508938193321228,0.11779779195785522,1e-04,0.9501197934150696,0.13241121172904968
21,0.9523802399635315,0.11449770629405975,1e-04,0.9442745447158813,0.13926544785499573
22,0.9577910900115967,0.1003149077296257,1e-05,0.9557108283042908,0.10929837077856064
23,0.9585211277008057,0.097926065325737,1e-05,0.9519180655479431,0.12730470299720764
24,0.9593765735626221,0.0961415246129036,1e-05,0.9500551223754883,0.13058872520923615
25,0.9594919681549072,0.09572933614253998,1e-05,0.9518060684204102,0.12269240617752075
26,0.9605826735496521,0.09257610142230988,1e-06,0.9547566771507263,0.11695580184459686
27,0.9606719613075256,0.09224692732095718,1e-06,0.9496143460273743,0.1308450549840927
28,0.9606261253356934,0.09253989160060883,1e-06,0.9567842483520508,0.11302097886800766
